Day,Date,Departure time,Arrival time,Itinerary/ Activity,category,cost,note,url,Location,Booking info,Booking,EnglishTitle,SecretTitle,Icon,Lat,Lng,IgnoreMap,Show,,,,,,,,
0,4月25日  土,12:35,,LGW-NRT (Vienna経由),Flight,,機内泊,,,,TRUE,LGW-NRT (via Vienna),Flight to NRT,✈️,51.1537,-0.1821,TRUE,TRUE,,,,,,,,
1,4月26日  日,8:50,,NRT 到着,Flight,,,,"https://www.google.com/maps/place/%E6%88%90%E7%94%B0%E5%9B%BD%E9%9A%9B%E7%A9%BA%E6%B8%AF/@35.769769,140.387566,15z/data=!3m1!4b1!4m6!3m5!1s0x6022f379d1bd3757:0xd56e29a162771aa1!8m2!3d35.770178!4d140.3843215!16zL20vMDFsazZo?authuser=0&entry=ttu&g_ep=EgoyMDI2MDIxMC4wIKXMDSoASAFQAw%3D%3D",,TRUE,Arrival at NRT,Arrival,🛬,35.7719,140.3928,TRUE,TRUE,,,,,,,,
東京1日目,,9:42,10:30,移動,Transport,2790,スカイライナー8号,https://www.keisei.co.jp/keisei/tetudou/skyliner/jp/traffic/skyliner_timetable.php,,,n/a,,,,,,,,,,,,,,,
,,10:30,11:30,根津神社 つつじ苑,Sightseeing/ Activity,500,つつじ苑,https://nedujinja.or.jp/tsutsuji/,"https://www.google.com/maps/place/%E6%A0%B9%E6%B4%A5%E7%A5%9E%E7%A4%BE+%E3%81%A4%E3%81%A4%E3%81%98%E8%8B%91/@35.7195574,139.760504,17z/data=!3m1!4b1!4m6!3m5!1s0x60188c32d987a58f:0xedbbbab47b5044ba!8m2!3d35.7195574!4d139.760504!16s%2Fg%2F11g69_rtr9?authuser=0&entry=ttu&g_ep=EgoyMDI2MDIxMC4wIKXMDSoASAFQAw%3D%3D",,n/a,Nezu Shrine Azalea Garden,Azalea Garden,⛩,35.7202,139.7607,,TRUE,,,,,,,,
,,11:30,12:30,お昼,Food,1500,蕎心・手打ちそば 根津 鷹匠,https://tabelog.com/tokyo/A1311/A131106/13009812/,https://www.google.com/maps/place/%E6%89%8B%E6%89%93%E3%81%A1%E3%81%9D%E3%81%B0+%E6%A0%B9%E6%B4%A5+%E9%B7%B9%E5%8C%A0/data=!4m2!3m1!1s0x0:0xda72f8d9c7358eb7?sa=X&ved=1t:2428&ictx=111,,n/a,Soba,Lunch,🍜,35.7215,139.76,,TRUE,,,,,,,,
,,12:30,13:15,根津神社ー東大ー上野公園ー藤木屋,Transport,0,徒歩移動,,,,n/a,,,,,,,,,,,,,,,
,,13:15,14:15,藤木屋,Shopping,6000,甚兵衛・作務衣,,"https://www.google.com/maps/place/%E8%97%A4%E6%9C%A8%E5%B1%8B/@35.7125845,139.7795756,17z/data=!4m10!1m2!2m1!1z6Jek5pyo5bGL!3m6!1s0x60188e98d8aa72b3:0x64159985f61a5f36!8m2!3d35.7125845!4d139.7817643!15sCgnol6TmnKjlsYtaDCIK6Jek5pyoIOWxi5IBDGtpbW9ub19zdG9yZeABAA!16s%2Fg%2F11b6mk_jbp?authuser=0&entry=ttu&g_ep=EgoyMDI2MDIxMC4wIKXMDSoASAFQAw%3D%3D",,n/a,Fujikiya,Shopping,👘,35.711,139.779,,TRUE,,,,,,,,
,,14:15,14:45,上野駅ー神谷町駅,Transport,210,日比谷線,,,,n/a,,,,,,,,,,,,,,,
,,14:45,17:30,TeamLab 麻布,Sightseeing/ Activity,5000,没入型アート,https://www.teamlab.art/jp/e/tokyo/?_gl=1*5s1428*_gcl_au*MTg5Njc2NzMzOC4xNzY3Nzk4MDky,"https://www.google.com/maps/place/%E6%A3%AE%E3%83%93%E3%83%AB+%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%A2%E3%83%BC%E3%83%88+%E3%83%9F%E3%83%A5%E3%83%BC%E3%82%B8%E3%82%A2%E3%83%A0%EF%BC%9A%E3%82%A8%E3%83%97%E3%82%BD%E3%83%B3+%E3%83%81%E3%83%BC%E3%83%A0%E3%83%A9%E3%83%9C%E3%83%9C%E3%83%BC%E3%83%80%E3%83%AC%E3%82%B9/@35.6620689,139.7432671,17z/data=!3m2!4b1!5s0x60188b9741cfc0d3:0xc91c5c5975739ded!4m6!3m5!1s0x601889fad49a9443:0x5831aba3288d2651!8m2!3d35.6620689!4d139.7432671!16s%2Fg%2F11ggvtjmjl?authuser=0&entry=ttu&g_ep=EgoyMDI2MDIxMC4wIKXMDSoASAFQAw%3D%3D",,TRUE,TeamLab Azabudai,Digital Art Dive,✨,35.6604,139.7419,,TRUE,,,,,,,,
,,17:45,18:15,神谷町駅ー学芸大学,Transport,320,,,,,n/a,,,,,,,,,,,,,,,
